sp,FL,RW,CL,CW,BD
B,7.2,6.5,14.7,17.1,6.1
B,9.0,8.5,19.3,22.7,7.7
B,9.1,8.1,18.5,21.6,7.7
B,9.1,8.2,19.2,22.2,7.7
B,9.5,8.2,19.6,22.4,7.8
B,9.8,8.9,20.4,23.9,8.8
B,10.1,9.3,20.9,24.4,8.4
B,10.3,9.5,21.3,24.7,8.9
B,10.4,9.7,21.7,25.4,8.3
B,10.8,9.5,22.5,26.3,9.1
B,11.0,9.8,22.5,25.7,8.2
B,11.2,10.0,22.8,26.9,9.4
B,11.5,11.0,24.7,29.2,10.1
B,11.6,11.0,24.6,28.5,10.4
B,11.6,11.4,23.7,27.7,10.0
B,11.7,10.6,24.9,28.5,10.4
B,11.9,11.4,26.0,30.1,10.9
B,12.0,10.7,24.6,28.9,10.5
B,12.0,11.1,25.4,29.2,11.0
B,12.6,12.2,26.1,31.6,11.2
B,12.8,11.7,27.1,31.2,11.9
B,12.8,12.2,26.7,31.1,11.1
B,12.8,12.2,27.9,31.9,11.5
B,13.0,11.4,27.3,31.8,11.3
B,13.1,11.5,27.6,32.6,11.1
B,13.2,12.2,27.9,32.1,11.5
B,13.4,11.8,28.4,32.7,11.7
B,13.7,12.5,28.6,33.8,11.9
B,13.9,13.0,30.0,34.9,13.1
B,14.7,12.5,30.1,34.7,12.5
B,14.9,13.2,30.1,35.6,12.0
B,15.0,13.8,31.7,36.9,14.0
B,15.0,14.2,32.8,37.4,14.0
B,15.1,13.3,31.8,36.3,13.5
B,15.1,13.5,31.9,37.0,13.8
B,15.1,13.8,31.7,36.6,13.0
B,15.2,14.3,33.9,38.5,14.7
B,15.3,14.2,32.6,38.3,13.8
B,15.4,13.3,32.4,37.6,13.8
B,15.5,13.8,33.4,38.7,14.7
B,15.6,13.9,32.8,37.9,13.4
B,15.6,14.7,33.9,39.5,14.3
B,15.7,13.9,33.6,38.5,14.1
B,15.8,15.0,34.5,40.3,15.3
B,16.2,15.2,34.5,40.1,13.9
B,16.4,14.0,34.2,39.8,15.2
B,16.7,16.1,36.6,41.9,15.4
B,17.4,16.9,38.2,44.1,16.6
B,17.5,16.7,38.6,44.5,17.0
B,19.2,16.5,40.9,47.9,18.1
O,10.7,9.7,21.4,24.0,9.8
O,11.4,9.2,21.7,24.1,9.7
O,12.5,10.0,24.1,27.0,10.9
O,12.6,11.5,25.0,28.1,11.5
O,12.9,11.2,25.8,29.1,11.9
O,14.0,11.9,27.0,31.4,12.6
O,14.0,12.8,28.8,32.4,12.7
O,14.3,12.2,28.1,31.8,12.5
O,14.7,13.2,29.6,33.4,12.9
O,14.9,13.0,30.0,33.7,13.3
O,15.0,12.3,30.1,33.3,14.0
O,15.6,13.5,31.2,35.1,14.1
O,15.6,14.0,31.6,35.3,13.8
O,15.6,14.1,31.0,34.5,13.8
O,15.7,13.6,31.0,34.8,13.8
O,16.1,13.6,31.6,36.0,14.0
O,16.1,13.7,31.4,36.1,13.9
O,16.2,14.0,31.6,35.6,13.7
O,16.7,14.3,32.3,37.0,14.7
O,17.1,14.5,33.1,37.2,14.6
O,17.5,14.3,34.5,39.6,15.6
O,17.5,14.4,34.5,39.0,16.0
O,17.5,14.7,33.3,37.6,14.6
O,17.6,14.0,34.0,38.6,15.5
O,18.0,14.9,34.7,39.5,15.7
O,18.0,16.3,37.9,43.0,17.2
O,18.3,15.7,35.1,40.5,16.1
O,18.4,15.5,35.6,40.0,15.9
O,18.4,15.7,36.5,41.6,16.4
O,18.5,14.6,37.0,42.0,16.6
O,18.6,14.5,34.7,39.4,15.0
O,18.8,15.2,35.8,40.5,16.6
O,18.9,16.7,36.3,41.7,15.3
O,19.1,16.0,37.8,42.3,16.8
O,19.1,16.3,37.9,42.6,17.2
O,19.7,16.7,39.9,43.6,18.2
O,19.9,16.6,39.4,43.9,17.9
O,19.9,17.9,40.1,46.4,17.9
O,20.0,16.7,40.4,45.1,17.7
O,20.1,17.2,39.8,44.1,18.6
O,20.3,16.0,39.4,44.1,18.0
O,20.5,17.5,40.0,45.5,19.2
O,20.6,17.5,41.5,46.2,19.2
O,20.9,16.5,39.9,44.7,17.5
O,21.3,18.4,43.8,48.4,20.0
O,21.4,18.0,41.2,46.2,18.7
O,21.7,17.1,41.7,47.2,19.6
O,21.9,17.2,42.6,47.4,19.5
O,22.5,17.2,43.0,48.7,19.8
O,23.1,20.2,46.2,52.5,21.1
